FID,id_estacio,Direccion,Aproximaci,Lat_Y,Lon_X,CreationDate,Creator,EditDate,Editor,x,y
73,166,Ronda del Tamarguillo,Centro Comercial Los Arcos,37.388538,-5.959222,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-663377.600000001,4493403.2
74,38,Calle del Inca Garcilaso,Calle Juan Antonio de Vizarrón,37.392025,-6.011066,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-669148.800000001,4493891.8
75,167,Glorieta Bizco Amate,"Ramón y Cajal, Esq. Ronda",37.373352,-5.964932,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664013.199999999,4491275.8
76,168,Avenida Ramón y Cajal,Avenida de la Ciudad Jardín,37.375114,-5.967674,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664318.399999999,4491522.6
77,169,Avenida Ramón y Cajal,Calle Villegas Marmolejo,37.376698,-5.97307,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664919.100000001,4491744.5
78,39,Avenida de Torneo,Calle Curtidurías,37.397881,-5.998519,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-667752.100000001,4494712.3
79,170,Plaza Antonio Aparicio Herrero, ,37.37899,-5.968885,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664453.199999999,4492065.6
80,40,Avenida Reina Mercedes,Glorieta Alcalde de Parias Merry,37.356396,-5.986558,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666420.600000001,4488900.9
81,171,Calle Alfonso Lasso de la Vega,Párroco Antonio González,37.366135,-5.974922,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665125.300000001,4490264.9
82,41,Plaza Calderón de la Barca,Calle Amargura,37.399551,-5.990966,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666911.300000001,4494946.3
